Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	156	-125949.5	-138174.1	-142192.3	0.027	0.054	0.669	0.219
2	137	-125395.3	-137840.5	-142060.9	0.033	0.075	0.678	0.242
3	188	-125162.4	-137774.8	-142089.2	0.015	0.036	0.662	0.160
4	185	-125199.7	-137789.3	-142057.4	0.019	0.038	0.668	0.149
5	184	-125458.1	-137889.7	-141983.9	0.022	0.033	0.666	0.183
6	155	-125878.4	-138001.6	-142020.2	0.014	0.065	0.669	0.214
7	134	-125543.4	-137904.9	-142156.1	0.008	0.068	0.677	0.233
8	197	-125192.9	-137877.6	-142283.7	0.016	0.049	0.661	0.131
9	184	-125406.9	-137922.6	-141870.6	0.010	0.019	0.668	0.199
10	161	-125956.5	-138188.7	-142182.8	0.044	0.057	0.671	0.222
11	145	-125725.2	-137978.8	-141969.3	0.021	0.054	0.675	0.238
12	185	-125340.9	-137787.9	-142166.9	0.014	0.044	0.666	0.148
13	177	-125508.3	-138185.9	-142346.9	0.006	0.048	0.665	0.165
14	167	-125413.1	-137918.7	-142026.1	0.012	0.048	0.664	0.192
15	187	-125521.2	-138125.2	-142145.2	0.023	0.043	0.660	0.184
16	140	-126211.1	-138146.1	-141910.9	0.015	0.076	0.673	0.283
17	123	-126188.1	-138329.4	-142078.7	0.049	0.088	0.683	0.312
18	169	-125796.8	-138295.6	-142395.5	0.022	0.051	0.665	0.194
19	143	-125875.7	-138183.8	-142060.5	0.041	0.055	0.677	0.263
20	144	-125796.9	-138190.3	-142409.2	0.014	0.082	0.678	0.217
21	160	-125634.6	-137936.7	-141922.8	0.022	0.043	0.672	0.216
22	140	-125379.7	-137908.7	-141843.4	0.026	0.055	0.672	0.247
23	186	-125913.8	-138251.9	-142357.8	0.026	0.041	0.657	0.175
24	153	-125667.2	-137958.7	-141970.3	0.027	0.056	0.667	0.215
25	185	-125352.5	-138004.9	-142206.4	0.019	0.044	0.665	0.156
26	161	-125832.6	-138095.7	-142253.3	0.029	0.068	0.671	0.208
27	148	-125385.9	-137770.3	-141920.9	0.025	0.044	0.675	0.219
28	143	-125889.9	-138148.6	-142112.8	0.023	0.070	0.669	0.243
29	149	-125081.3	-137759.9	-141794.0	0.018	0.048	0.668	0.200
30	143	-125707.4	-137991.3	-142059.8	0.023	0.065	0.676	0.242
