Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	192	-127070.4	-138100.5	-142251.7	0.032	0.023	0.665	0.127
2	260	-126617.8	-137696.5	-142148.6	0.038	0.017	0.666	0.083
3	164	-126446.0	-137751.2	-142100.6	0.010	0.020	0.668	0.114
4	157	-126436.4	-137767.6	-142064.5	0.017	0.045	0.675	0.100
5	153	-126736.4	-137866.6	-142005.1	0.026	0.016	0.671	0.148
6	196	-126912.2	-137923.7	-142079.8	0.014	0.033	0.667	0.135
7	134	-126511.2	-137782.0	-142208.8	0.019	0.028	0.671	0.097
8	272	-126582.4	-137842.4	-142294.1	0.021	0.036	0.664	0.069
9	167	-126863.5	-137901.3	-141906.7	0.028	0.024	0.671	0.147
10	208	-127195.5	-138109.7	-142235.7	0.037	0.024	0.667	0.123
11	139	-126824.2	-137899.6	-142011.1	0.027	0.025	0.673	0.147
12	174	-126415.7	-137754.9	-142232.6	0.015	0.024	0.673	0.088
13	182	-126945.7	-138160.1	-142340.4	0.019	0.044	0.670	0.108
14	150	-126644.8	-137870.8	-142053.7	0.021	0.022	0.667	0.121
15	178	-126912.2	-138104.6	-142161.7	0.018	0.027	0.663	0.148
16	212	-127395.3	-137997.4	-141976.9	0.018	0.022	0.664	0.148
17	199	-127129.9	-138132.0	-142162.2	0.042	0.008	0.664	0.142
18	175	-127200.3	-138249.1	-142435.7	0.038	0.026	0.666	0.121
19	176	-127104.7	-138084.8	-142119.5	0.030	0.021	0.669	0.153
20	170	-126798.1	-138089.1	-142452.3	0.022	0.039	0.671	0.108
21	201	-126946.2	-137869.5	-141975.6	0.018	0.009	0.670	0.131
22	128	-126708.9	-137810.7	-141897.1	0.021	0.024	0.668	0.142
23	225	-127300.3	-138212.4	-142406.3	0.014	0.020	0.661	0.117
24	149	-126756.6	-137888.9	-142031.4	0.018	0.018	0.670	0.138
25	144	-126536.9	-137984.5	-142237.2	0.011	0.031	0.673	0.116
26	222	-126699.4	-138014.2	-142319.1	0.020	0.031	0.667	0.103
27	155	-126232.5	-137689.5	-141997.8	0.027	0.023	0.676	0.110
28	196	-127059.3	-138034.3	-142182.4	0.032	0.012	0.661	0.135
29	155	-126549.0	-137698.7	-141835.4	0.023	0.021	0.671	0.133
30	190	-126822.8	-137879.5	-142120.2	0.022	0.021	0.672	0.121
