Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	167	-125804.5	-138091.5	-142258.1	0.024	0.019	0.659	0.085
2	152	-125547.4	-137688.5	-142172.9	0.021	0.011	0.664	0.069
3	130	-125125.9	-137740.9	-142123.1	0.006	0.025	0.662	0.079
4	122	-124975.4	-137762.0	-142123.6	0.008	0.025	0.669	0.067
5	119	-125622.4	-137854.1	-142025.5	0.011	0.017	0.665	0.103
6	118	-125543.7	-137925.8	-142085.8	0.007	0.036	0.663	0.113
7	172	-125244.2	-137769.0	-142222.4	0.003	0.025	0.663	0.061
8	154	-125548.2	-137834.4	-142335.4	0.020	0.018	0.662	0.049
9	131	-125377.1	-137887.6	-141885.4	0.008	0.019	0.667	0.113
10	129	-125824.5	-138111.7	-142241.2	0.038	0.022	0.663	0.098
11	165	-125676.8	-137887.6	-142045.3	0.020	0.020	0.666	0.103
12	160	-125334.8	-137746.1	-142210.1	0.016	0.038	0.667	0.043
13	130	-125668.8	-138139.9	-142422.4	0.006	0.019	0.663	0.068
14	134	-125520.1	-137857.4	-142086.4	0.010	0.012	0.661	0.093
15	163	-125612.5	-138087.7	-142166.8	0.009	0.027	0.659	0.096
16	118	-125695.2	-138007.3	-141994.0	0.005	0.034	0.660	0.128
17	153	-125759.5	-138117.8	-142161.8	0.032	0.027	0.660	0.091
18	200	-126269.6	-138236.1	-142443.2	0.014	0.025	0.660	0.082
19	99	-125474.6	-138073.7	-142148.7	0.035	0.026	0.665	0.109
20	170	-125741.5	-138069.8	-142454.2	0.023	0.038	0.665	0.050
21	139	-125662.8	-137861.3	-142019.3	0.024	0.017	0.666	0.088
22	138	-125301.5	-137790.8	-141943.7	0.009	0.018	0.661	0.082
23	190	-126138.8	-138216.2	-142383.8	0.015	0.033	0.658	0.104
24	118	-125150.0	-137882.6	-142057.5	0.018	0.021	0.664	0.096
25	108	-125201.5	-137981.3	-142241.2	0.020	0.028	0.668	0.099
26	123	-125426.8	-138012.5	-142342.5	0.022	0.019	0.665	0.075
27	123	-125116.5	-137682.1	-142020.0	0.017	0.023	0.669	0.089
28	173	-126098.5	-138027.1	-142172.9	0.021	0.021	0.658	0.093
29	135	-125245.2	-137690.5	-141855.2	0.010	0.023	0.663	0.093
30	155	-125704.0	-137873.7	-142174.9	0.016	0.020	0.666	0.080
