Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	304	-126941.1	-138083.6	-142257.6	0.021	0.022	0.661	0.084
2	164	-126343.6	-137696.9	-142147.5	0.023	0.025	0.671	0.092
3	224	-126474.2	-137740.4	-142127.9	0.014	0.029	0.664	0.087
4	181	-126547.1	-137761.2	-142113.8	0.022	0.019	0.673	0.100
5	188	-126889.1	-137854.7	-142011.4	0.018	0.017	0.670	0.123
6	183	-126856.3	-137927.1	-142059.0	0.014	0.038	0.669	0.140
7	239	-126587.8	-137767.6	-142196.3	0.013	0.032	0.668	0.075
8	226	-126685.2	-137838.9	-142323.7	0.019	0.022	0.665	0.077
9	201	-126884.4	-137892.0	-141874.6	0.021	0.020	0.671	0.142
10	233	-127249.9	-138104.1	-142259.0	0.039	0.023	0.667	0.113
11	203	-126732.2	-137884.3	-142027.7	0.021	0.022	0.671	0.109
12	251	-126406.9	-137750.7	-142190.8	0.019	0.051	0.669	0.065
13	246	-127026.3	-138143.8	-142388.0	0.016	0.022	0.669	0.099
14	264	-126844.9	-137853.2	-142077.8	0.006	0.021	0.663	0.089
15	190	-126856.2	-138101.0	-142141.6	0.016	0.040	0.667	0.143
16	273	-127334.9	-137995.0	-141979.7	0.022	0.020	0.663	0.136
17	291	-127173.7	-138122.0	-142144.7	0.036	0.020	0.663	0.129
18	179	-127145.5	-138245.7	-142419.4	0.028	0.034	0.667	0.114
19	332	-127277.3	-138069.6	-142131.6	0.031	0.021	0.669	0.127
20	304	-126930.2	-138075.5	-142475.3	0.019	0.029	0.668	0.079
21	195	-126688.1	-137868.3	-141988.3	0.015	0.014	0.671	0.131
22	273	-126794.8	-137792.8	-141928.8	0.010	0.011	0.662	0.110
23	182	-127110.5	-138212.1	-142410.9	0.017	0.016	0.663	0.116
24	206	-126871.2	-137875.3	-142056.3	0.013	0.013	0.669	0.122
25	196	-126669.2	-137978.1	-142218.0	0.014	0.038	0.671	0.107
26	243	-126912.0	-138007.4	-142310.6	0.017	0.037	0.668	0.100
27	195	-126296.3	-137688.2	-141943.1	0.036	0.020	0.672	0.099
28	267	-127281.1	-138025.9	-142181.4	0.021	0.017	0.661	0.119
29	238	-126632.5	-137688.1	-141832.9	0.014	0.022	0.667	0.101
30	282	-126906.4	-137873.5	-142110.3	0.017	0.028	0.670	0.100
