Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	165	-125784.9	-138164.6	-142207.4	0.026	0.052	0.666	0.203
2	159	-125243.4	-137785.2	-142080.6	0.027	0.056	0.671	0.206
3	169	-125036.0	-137789.4	-142061.2	0.017	0.042	0.664	0.173
4	152	-125550.0	-137852.7	-142027.9	0.020	0.062	0.677	0.213
5	121	-126092.8	-138063.8	-141931.5	0.022	0.099	0.688	0.299
6	150	-125912.9	-138024.2	-142011.7	0.012	0.080	0.671	0.232
7	148	-125484.6	-137878.3	-142153.3	0.014	0.066	0.675	0.215
8	160	-125392.2	-137923.8	-142253.2	0.029	0.065	0.667	0.183
9	145	-125714.3	-137976.0	-141818.6	0.016	0.062	0.674	0.241
10	161	-125942.5	-138177.6	-142196.4	0.048	0.044	0.668	0.219
11	175	-125492.4	-137933.5	-141988.9	0.018	0.036	0.668	0.195
12	147	-125569.2	-137850.1	-142136.5	0.011	0.067	0.675	0.206
13	115	-126057.8	-138338.0	-142307.0	0.029	0.103	0.687	0.273
14	148	-125449.0	-137931.7	-142011.4	0.012	0.064	0.665	0.190
15	144	-125943.8	-138188.7	-142100.8	0.028	0.073	0.670	0.240
16	144	-126229.9	-138125.4	-141917.4	0.009	0.068	0.671	0.270
17	142	-126101.2	-138222.2	-142085.8	0.042	0.058	0.671	0.258
18	187	-125663.1	-138273.3	-142404.6	0.026	0.043	0.662	0.165
19	163	-125807.0	-138127.6	-142081.2	0.029	0.039	0.670	0.218
20	144	-125755.8	-138181.8	-142416.4	0.020	0.077	0.676	0.210
21	194	-125375.6	-137892.3	-141952.9	0.010	0.023	0.665	0.170
22	138	-125616.1	-137929.0	-141839.9	0.027	0.061	0.676	0.266
23	131	-125926.7	-138370.6	-142310.8	0.035	0.081	0.672	0.270
24	169	-125623.3	-137934.4	-141982.4	0.027	0.045	0.665	0.198
25	156	-125623.9	-138047.4	-142189.9	0.016	0.063	0.671	0.204
26	201	-125649.9	-138041.0	-142285.2	0.022	0.043	0.664	0.154
27	191	-125060.1	-137708.3	-141954.8	0.018	0.013	0.668	0.153
28	200	-125717.6	-138058.3	-142142.3	0.018	0.035	0.658	0.166
29	181	-125212.6	-137737.3	-141802.3	0.024	0.038	0.664	0.184
30	140	-125665.7	-137993.4	-142058.6	0.021	0.065	0.677	0.245
