Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	236	-3080.1	-3490.4	-3554.7	0.105	0.087	0.756	0.174
2	235	-3011.8	-3484.3	-3568.6	0.066	0.036	0.762	0.157
3	225	-3066.7	-3504.6	-3589.3	0.088	0.108	0.790	0.145
4	232	-3028.1	-3482.2	-3553.5	0.079	0.052	0.761	0.357
5	226	-3038.0	-3469.0	-3554.5	0.070	0.094	0.808	0.225
6	229	-3001.0	-3405.9	-3472.3	0.099	0.181	0.794	0.280
7	222	-3027.3	-3478.8	-3558.4	0.078	0.060	0.759	0.106
8	219	-3088.0	-3491.2	-3562.1	0.092	0.070	0.793	0.208
9	243	-2941.4	-3445.3	-3535.0	0.088	0.079	0.740	0.240
10	219	-3146.1	-3524.1	-3588.8	0.029	0.096	0.732	0.131
11	228	-3062.9	-3435.9	-3497.9	0.077	0.109	0.788	0.174
12	233	-2998.5	-3427.9	-3533.2	0.127	0.111	0.783	0.267
13	233	-3105.2	-3487.0	-3557.0	0.063	0.075	0.772	0.140
14	222	-2964.5	-3443.9	-3541.9	0.069	0.086	0.780	0.272
15	227	-3131.7	-3515.6	-3584.0	0.108	0.123	0.764	0.197
16	220	-2963.5	-3447.6	-3526.2	0.075	0.098	0.818	0.194
17	224	-2929.0	-3455.4	-3560.9	0.161	0.113	0.739	0.280
18	215	-3107.2	-3502.4	-3565.4	0.041	0.073	0.775	0.131
19	230	-3024.0	-3438.1	-3522.9	0.130	0.057	0.792	0.200
20	239	-3080.6	-3520.6	-3580.2	0.052	0.113	0.750	0.215
21	222	-2962.3	-3451.3	-3536.2	0.097	0.021	0.819	0.157
22	228	-3062.0	-3541.2	-3626.8	0.149	0.164	0.804	0.253
23	237	-3088.9	-3481.7	-3539.6	0.072	0.092	0.756	0.216
24	228	-3173.0	-3530.1	-3573.8	0.058	0.129	0.754	0.329
25	229	-3083.7	-3517.2	-3592.2	0.079	0.108	0.819	0.338
26	226	-3080.4	-3523.7	-3590.6	0.123	0.127	0.801	0.216
27	222	-3104.4	-3469.0	-3533.2	0.029	0.104	0.793	0.181
28	229	-3050.8	-3457.8	-3531.9	0.010	0.102	0.781	0.192
29	227	-3037.8	-3472.3	-3552.7	0.040	0.085	0.761	0.202
30	229	-3030.7	-3428.6	-3505.6	0.058	0.099	0.756	0.198
