Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	87	-2890.5	-3501.4	-3557.4	0.096	0.091	0.790	0.307
2	101	-2855.3	-3489.8	-3570.4	0.069	0.057	0.790	0.279
3	112	-2882.3	-3509.9	-3590.9	0.088	0.095	0.818	0.278
4	89	-2826.5	-3491.7	-3555.4	0.090	0.062	0.803	0.443
5	118	-2842.5	-3477.8	-3556.4	0.096	0.099	0.839	0.339
6	99	-2819.4	-3414.1	-3474.7	0.103	0.200	0.825	0.345
7	87	-2864.6	-3484.9	-3562.7	0.114	0.057	0.790	0.257
8	105	-2898.3	-3500.3	-3564.8	0.069	0.077	0.825	0.290
9	81	-2797.3	-3454.9	-3536.6	0.104	0.085	0.772	0.339
10	93	-2958.3	-3537.7	-3591.0	0.038	0.076	0.749	0.242
11	96	-2859.4	-3444.6	-3501.2	0.093	0.139	0.815	0.263
12	93	-2804.2	-3438.0	-3534.2	0.124	0.126	0.816	0.352
13	106	-2920.1	-3496.4	-3559.6	0.086	0.078	0.797	0.246
14	123	-2799.9	-3452.5	-3544.3	0.092	0.098	0.815	0.346
15	96	-2910.9	-3527.1	-3586.6	0.091	0.130	0.794	0.300
16	96	-2787.5	-3454.5	-3528.9	0.108	0.112	0.863	0.352
17	118	-2775.0	-3461.7	-3563.9	0.172	0.115	0.780	0.394
18	112	-2957.6	-3509.0	-3567.2	0.041	0.059	0.792	0.253
19	110	-2858.3	-3450.8	-3525.3	0.138	0.068	0.814	0.265
20	80	-2922.7	-3530.2	-3581.3	0.057	0.104	0.785	0.337
21	91	-2820.8	-3462.0	-3539.0	0.122	0.035	0.845	0.275
22	99	-2891.5	-3549.9	-3630.0	0.128	0.153	0.837	0.346
23	104	-2922.1	-3494.7	-3541.4	0.093	0.085	0.782	0.318
24	100	-2975.4	-3539.4	-3577.1	0.063	0.113	0.779	0.335
25	115	-2907.8	-3526.6	-3593.6	0.066	0.117	0.840	0.390
26	75	-2884.7	-3530.9	-3592.4	0.131	0.121	0.842	0.350
27	115	-2907.6	-3482.7	-3535.4	0.025	0.125	0.814	0.235
28	73	-2833.9	-3468.4	-3533.5	0.032	0.113	0.818	0.322
29	107	-2857.9	-3478.5	-3553.8	0.047	0.093	0.789	0.317
30	86	-2836.0	-3437.9	-3507.9	0.056	0.123	0.789	0.292
