Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	157	-2932.4	-3499.6	-3556.1	0.109	0.088	0.784	0.270
2	149	-2868.7	-3489.5	-3570.2	0.068	0.054	0.789	0.274
3	182	-2912.3	-3509.1	-3591.0	0.102	0.117	0.817	0.261
4	129	-2860.5	-3490.8	-3554.9	0.080	0.059	0.792	0.432
5	191	-2894.7	-3475.9	-3555.6	0.063	0.098	0.825	0.290
6	217	-2871.5	-3412.4	-3472.7	0.104	0.178	0.817	0.353
7	170	-2896.1	-3483.2	-3561.0	0.099	0.052	0.781	0.230
8	193	-2933.1	-3497.8	-3563.1	0.097	0.060	0.811	0.264
9	161	-2822.5	-3451.8	-3537.0	0.108	0.083	0.764	0.319
10	160	-2995.3	-3534.6	-3590.0	0.045	0.088	0.743	0.212
11	181	-2914.7	-3442.1	-3500.1	0.101	0.118	0.811	0.257
12	183	-2846.7	-3436.2	-3534.1	0.126	0.117	0.797	0.283
13	152	-2960.6	-3493.8	-3558.3	0.073	0.066	0.790	0.207
14	112	-2813.2	-3452.2	-3543.7	0.072	0.106	0.816	0.366
15	247	-2985.5	-3523.9	-3585.2	0.105	0.118	0.784	0.274
16	200	-2840.5	-3452.6	-3528.1	0.104	0.118	0.854	0.299
17	210	-2814.9	-3460.6	-3563.0	0.160	0.115	0.772	0.345
18	179	-2982.1	-3507.1	-3566.9	0.047	0.062	0.791	0.213
19	159	-2881.4	-3447.8	-3524.6	0.139	0.058	0.811	0.264
20	256	-2987.0	-3525.2	-3580.7	0.059	0.117	0.774	0.274
21	130	-2833.0	-3460.5	-3537.7	0.105	0.022	0.850	0.273
22	180	-2938.5	-3546.8	-3628.3	0.138	0.157	0.823	0.311
23	233	-2965.9	-3490.8	-3540.3	0.086	0.097	0.774	0.247
24	157	-3018.8	-3536.8	-3575.5	0.080	0.125	0.777	0.334
25	175	-2938.2	-3524.5	-3593.9	0.070	0.115	0.838	0.383
26	132	-2935.5	-3528.3	-3591.5	0.120	0.117	0.821	0.303
27	187	-2960.0	-3480.0	-3535.3	0.043	0.098	0.801	0.213
28	202	-2901.2	-3464.0	-3531.8	0.018	0.096	0.798	0.273
29	126	-2881.4	-3477.0	-3555.8	0.059	0.090	0.784	0.285
30	196	-2883.3	-3434.9	-3506.9	0.085	0.108	0.774	0.245
