Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	151	-2998.2	-3497.4	-3555.3	0.087	0.084	0.771	0.285
2	96	-2931.5	-3487.5	-3568.3	0.070	0.037	0.779	0.215
3	183	-2973.0	-3507.3	-3589.0	0.078	0.101	0.804	0.215
4	144	-2928.9	-3488.0	-3554.1	0.086	0.053	0.782	0.408
5	142	-2944.9	-3474.2	-3554.3	0.070	0.090	0.819	0.248
6	172	-2922.8	-3411.3	-3471.4	0.091	0.170	0.810	0.329
7	102	-2950.2	-3481.6	-3560.0	0.089	0.061	0.779	0.199
8	136	-2997.7	-3496.6	-3562.0	0.086	0.072	0.814	0.283
9	108	-2889.0	-3451.2	-3533.9	0.097	0.079	0.752	0.244
10	145	-3053.3	-3532.2	-3589.7	0.037	0.084	0.744	0.217
11	168	-2966.3	-3439.7	-3498.2	0.081	0.106	0.803	0.262
12	120	-2898.6	-3433.9	-3533.3	0.118	0.111	0.793	0.221
13	123	-3002.3	-3492.2	-3557.2	0.064	0.070	0.784	0.200
14	101	-2884.0	-3449.4	-3540.9	0.065	0.076	0.788	0.243
15	116	-3015.5	-3522.7	-3584.3	0.090	0.117	0.779	0.266
16	126	-2905.2	-3451.6	-3526.5	0.083	0.101	0.835	0.258
17	131	-2872.1	-3459.2	-3561.1	0.150	0.106	0.755	0.246
18	103	-3016.9	-3506.1	-3565.6	0.032	0.074	0.789	0.222
19	136	-2944.9	-3446.2	-3524.2	0.136	0.079	0.806	0.190
20	117	-3027.8	-3525.5	-3580.1	0.036	0.113	0.766	0.303
21	115	-2903.0	-3458.6	-3536.1	0.097	0.013	0.831	0.207
22	113	-2982.0	-3545.0	-3627.1	0.145	0.171	0.821	0.265
23	145	-3010.6	-3488.8	-3540.0	0.076	0.084	0.772	0.287
24	122	-3075.0	-3534.6	-3574.2	0.055	0.118	0.767	0.348
25	102	-2982.9	-3523.6	-3591.7	0.075	0.118	0.825	0.347
26	111	-3002.6	-3526.8	-3591.2	0.123	0.136	0.825	0.293
27	148	-3008.4	-3476.7	-3533.6	0.030	0.104	0.808	0.218
28	130	-2949.6	-3462.7	-3532.3	0.017	0.103	0.801	0.266
29	106	-2953.1	-3474.8	-3552.1	0.028	0.079	0.778	0.254
30	116	-2936.3	-3433.9	-3505.3	0.055	0.089	0.767	0.225
