Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	162	-3070.3	-3488.1	-3555.4	0.103	0.086	0.762	0.196
2	210	-3021.1	-3481.7	-3568.2	0.069	0.033	0.777	0.225
3	210	-3062.8	-3500.0	-3589.3	0.089	0.109	0.801	0.211
4	145	-2991.3	-3481.2	-3553.8	0.081	0.055	0.784	0.397
5	186	-3027.0	-3467.8	-3555.2	0.072	0.095	0.816	0.264
6	166	-2984.8	-3402.2	-3472.6	0.099	0.180	0.801	0.285
7	152	-3012.9	-3476.6	-3558.6	0.081	0.057	0.767	0.169
8	156	-3044.8	-3489.3	-3562.5	0.089	0.074	0.800	0.208
9	172	-2960.4	-3444.3	-3534.2	0.084	0.073	0.755	0.289
10	153	-3154.7	-3521.3	-3589.0	0.029	0.090	0.733	0.151
11	181	-3037.8	-3433.7	-3498.8	0.082	0.116	0.790	0.166
12	168	-2972.9	-3425.0	-3533.5	0.132	0.116	0.793	0.320
13	135	-3082.3	-3482.3	-3557.3	0.063	0.068	0.778	0.166
14	176	-2959.0	-3440.9	-3542.0	0.072	0.087	0.785	0.306
15	179	-3117.2	-3512.5	-3584.3	0.105	0.123	0.769	0.219
16	167	-2932.9	-3445.2	-3527.0	0.080	0.106	0.832	0.235
17	171	-2919.3	-3453.6	-3561.6	0.163	0.112	0.757	0.358
18	144	-3105.5	-3502.6	-3565.6	0.039	0.065	0.777	0.132
19	233	-3042.8	-3438.2	-3522.9	0.127	0.053	0.794	0.237
20	156	-3073.2	-3515.9	-3580.2	0.053	0.118	0.759	0.242
21	175	-2967.6	-3450.9	-3536.4	0.099	0.020	0.830	0.209
22	213	-3049.8	-3539.8	-3627.4	0.146	0.159	0.814	0.294
23	182	-3085.5	-3478.5	-3539.8	0.073	0.092	0.759	0.197
24	189	-3188.7	-3528.5	-3573.7	0.057	0.126	0.755	0.293
25	201	-3054.5	-3516.0	-3592.7	0.074	0.108	0.830	0.340
26	151	-3061.7	-3519.8	-3590.6	0.122	0.124	0.812	0.225
27	177	-3123.1	-3466.6	-3533.0	0.030	0.097	0.791	0.168
28	200	-3044.4	-3453.8	-3531.5	0.009	0.103	0.789	0.235
29	154	-3008.5	-3470.2	-3553.0	0.043	0.085	0.772	0.251
30	225	-3014.8	-3427.1	-3505.5	0.058	0.097	0.761	0.209
