Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	641	-633821.9	-689929.2	-710985.7	0.008	0.035	0.668	0.091
2	482	-632983.2	-690447.2	-710935.5	0.017	0.015	0.672	0.116
3	732	-633980.9	-689670.6	-710612.9	0.013	0.030	0.667	0.079
4	528	-632317.0	-689737.1	-710310.3	0.027	0.026	0.669	0.108
5	574	-632630.4	-689701.7	-710616.3	0.014	0.025	0.671	0.104
6	716	-633997.6	-690224.8	-711279.9	0.007	0.016	0.665	0.099
7	641	-632303.4	-689317.3	-710653.1	0.026	0.017	0.668	0.076
8	621	-632017.8	-689807.1	-711426.5	0.019	0.020	0.667	0.080
9	755	-632497.9	-689087.6	-710643.5	0.014	0.021	0.666	0.081
10	573	-631557.1	-689435.1	-710721.8	0.011	0.015	0.667	0.080
11	568	-631243.4	-689519.0	-710561.6	0.014	0.020	0.669	0.096
12	506	-629639.4	-689129.6	-710571.7	0.007	0.011	0.670	0.073
13	573	-632216.7	-689176.0	-710556.7	0.008	0.012	0.670	0.092
14	960	-635493.1	-690422.2	-711236.3	0.023	0.020	0.668	0.093
15	779	-633472.1	-689151.6	-710460.0	0.019	0.020	0.666	0.101
16	531	-630067.9	-689324.2	-710701.7	0.014	0.023	0.671	0.101
17	576	-631121.2	-689422.3	-710867.5	0.016	0.023	0.670	0.078
18	777	-632235.1	-689104.1	-710628.5	0.004	0.028	0.669	0.085
19	671	-631652.3	-689616.1	-710861.9	0.009	0.018	0.669	0.107
20	456	-629302.0	-689228.8	-709786.3	0.016	0.012	0.673	0.111
21	642	-631637.5	-689223.7	-710495.2	0.012	0.024	0.669	0.078
22	762	-633080.0	-689886.5	-711176.5	0.012	0.023	0.670	0.081
23	641	-634024.4	-689420.8	-710678.6	0.016	0.011	0.669	0.091
24	703	-633414.8	-690090.0	-710850.6	0.004	0.030	0.668	0.096
25	777	-634013.8	-690034.3	-711247.6	0.018	0.018	0.671	0.091
26	654	-631390.9	-689208.9	-710512.5	0.018	0.021	0.667	0.095
27	835	-632928.0	-689778.7	-711027.3	0.008	0.022	0.667	0.077
28	482	-630802.7	-689621.6	-710842.2	0.020	0.017	0.671	0.113
29	711	-633232.7	-689420.3	-709988.5	0.013	0.015	0.666	0.101
30	601	-633896.3	-691024.9	-711639.9	0.011	0.033	0.671	0.102
