Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	98	-24965.3	-27691.1	-28496.1	0.012	0.057	0.669	0.120
2	115	-24550.0	-27413.6	-28284.1	0.034	0.031	0.664	0.088
3	94	-24721.6	-27632.4	-28540.8	0.017	0.052	0.667	0.090
4	116	-24613.3	-27542.4	-28500.2	0.017	0.031	0.655	0.059
5	90	-24927.8	-27631.8	-28454.7	0.017	0.036	0.657	0.113
6	104	-24978.9	-27694.5	-28427.8	0.026	0.053	0.658	0.158
7	113	-25038.8	-27757.5	-28574.2	0.050	0.048	0.663	0.104
8	126	-24379.5	-27374.4	-28410.2	0.005	0.048	0.658	0.114
9	88	-24942.7	-27684.4	-28442.8	0.023	0.025	0.667	0.169
10	86	-24883.9	-27669.9	-28432.9	0.012	0.053	0.668	0.161
11	93	-24771.9	-27585.7	-28411.5	0.028	0.025	0.660	0.122
12	95	-24785.4	-27626.8	-28446.8	0.034	0.042	0.650	0.106
13	110	-24904.2	-27669.0	-28489.5	0.043	0.032	0.654	0.111
14	97	-24794.2	-27606.9	-28477.9	0.035	0.045	0.658	0.090
15	103	-24815.6	-27555.9	-28386.3	0.043	0.032	0.645	0.107
16	71	-24780.0	-27662.5	-28480.4	0.028	0.041	0.661	0.156
17	77	-24983.5	-27863.3	-28656.1	0.051	0.037	0.666	0.155
18	119	-24977.7	-27694.3	-28470.7	0.032	0.030	0.655	0.130
19	96	-24723.2	-27653.1	-28467.8	0.038	0.029	0.667	0.129
20	112	-24755.4	-27593.7	-28441.3	0.031	0.012	0.670	0.087
21	91	-24875.7	-27757.1	-28592.7	0.030	0.073	0.653	0.131
22	95	-24718.9	-27639.1	-28465.4	0.027	0.057	0.661	0.105
23	96	-24867.4	-27671.2	-28532.5	0.016	0.026	0.650	0.096
24	92	-24800.8	-27491.6	-28278.8	0.067	0.031	0.660	0.129
25	92	-24737.5	-27573.1	-28428.2	0.023	0.032	0.660	0.117
26	79	-24584.3	-27409.5	-28220.5	0.039	0.057	0.663	0.137
27	72	-24752.8	-27632.4	-28443.7	0.001	0.045	0.673	0.120
28	88	-24718.1	-27613.7	-28536.9	0.037	0.056	0.648	0.075
29	102	-24657.2	-27457.0	-28319.9	0.022	0.033	0.665	0.094
30	108	-24647.2	-27591.2	-28487.5	0.060	0.025	0.665	0.077
