Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	141	-24992.5	-27688.1	-28498.3	0.012	0.048	0.668	0.106
2	128	-24548.6	-27412.0	-28277.5	0.019	0.026	0.664	0.068
3	115	-24722.0	-27631.4	-28542.4	0.007	0.049	0.667	0.084
4	125	-24637.6	-27541.8	-28500.2	0.021	0.031	0.655	0.055
5	167	-24914.3	-27630.6	-28452.6	0.034	0.035	0.655	0.092
6	134	-24988.6	-27694.1	-28424.7	0.015	0.046	0.657	0.162
7	152	-25042.4	-27757.0	-28576.7	0.054	0.040	0.664	0.092
8	176	-24412.9	-27373.3	-28410.1	0.018	0.042	0.657	0.118
9	133	-24951.9	-27680.6	-28441.5	0.027	0.011	0.664	0.135
10	129	-24892.8	-27666.6	-28436.4	0.016	0.044	0.666	0.143
11	159	-24755.4	-27583.6	-28417.8	0.025	0.025	0.660	0.097
12	144	-24829.8	-27622.6	-28452.9	0.033	0.032	0.649	0.079
13	121	-24891.9	-27670.5	-28486.4	0.055	0.031	0.653	0.115
14	120	-24778.9	-27606.6	-28482.8	0.038	0.040	0.656	0.087
15	134	-24842.2	-27555.9	-28384.9	0.039	0.033	0.645	0.103
16	134	-24801.8	-27657.2	-28482.6	0.031	0.043	0.656	0.109
17	163	-24967.2	-27861.5	-28656.4	0.052	0.039	0.663	0.128
18	159	-24984.0	-27692.6	-28474.4	0.039	0.017	0.653	0.125
19	157	-24701.3	-27650.5	-28470.6	0.021	0.024	0.665	0.101
20	148	-24754.5	-27593.4	-28449.1	0.043	0.035	0.669	0.075
21	131	-24871.5	-27754.2	-28601.0	0.023	0.064	0.652	0.110
22	122	-24710.9	-27639.4	-28466.4	0.037	0.057	0.660	0.091
23	140	-24854.4	-27669.4	-28534.9	0.019	0.021	0.649	0.071
24	145	-24783.0	-27489.9	-28282.7	0.068	0.039	0.659	0.106
25	132	-24743.7	-27570.4	-28430.1	0.012	0.031	0.659	0.094
26	198	-24609.9	-27404.3	-28237.9	0.052	0.085	0.660	0.099
27	138	-24788.9	-27627.4	-28447.1	0.005	0.036	0.671	0.083
28	134	-24715.5	-27611.4	-28543.4	0.041	0.037	0.647	0.059
29	123	-24627.4	-27455.6	-28318.2	0.019	0.036	0.664	0.074
30	138	-24616.0	-27592.2	-28493.5	0.064	0.027	0.666	0.085
