Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	108	-25023.6	-27686.9	-28501.8	0.015	0.053	0.668	0.100
2	100	-24580.2	-27413.2	-28283.8	0.033	0.031	0.664	0.071
3	89	-24744.4	-27628.9	-28547.7	0.020	0.041	0.666	0.075
4	90	-24623.2	-27543.0	-28501.9	0.019	0.032	0.656	0.060
5	76	-24870.7	-27631.9	-28453.9	0.018	0.033	0.656	0.091
6	101	-25034.2	-27693.2	-28423.8	0.015	0.033	0.658	0.161
7	73	-24949.8	-27760.5	-28578.1	0.042	0.038	0.665	0.087
8	105	-24439.1	-27372.6	-28410.0	0.022	0.042	0.657	0.130
9	107	-24967.4	-27681.6	-28441.8	0.021	0.026	0.665	0.135
10	93	-24897.0	-27666.6	-28438.0	0.020	0.041	0.665	0.123
11	88	-24788.5	-27583.1	-28420.6	0.031	0.034	0.659	0.087
12	84	-24844.6	-27623.2	-28450.4	0.040	0.037	0.650	0.084
13	77	-24900.7	-27669.6	-28488.6	0.043	0.025	0.653	0.106
14	112	-24890.3	-27601.5	-28479.4	0.032	0.046	0.655	0.075
15	100	-24884.7	-27555.0	-28386.0	0.042	0.030	0.644	0.096
16	79	-24777.8	-27659.0	-28485.1	0.029	0.052	0.658	0.115
17	84	-25017.0	-27861.9	-28661.5	0.048	0.043	0.662	0.130
18	100	-25001.6	-27692.3	-28474.2	0.027	0.022	0.654	0.120
19	77	-24724.9	-27651.6	-28474.7	0.033	0.028	0.665	0.102
20	97	-24778.9	-27592.1	-28442.4	0.038	0.014	0.671	0.084
21	82	-24867.7	-27757.1	-28598.2	0.019	0.064	0.651	0.113
22	80	-24726.6	-27636.4	-28468.9	0.027	0.059	0.660	0.074
23	82	-24841.2	-27669.2	-28533.7	0.026	0.024	0.650	0.061
24	84	-24810.4	-27491.3	-28281.1	0.071	0.034	0.660	0.115
25	94	-24746.7	-27570.7	-28429.3	0.013	0.030	0.660	0.087
26	78	-24583.1	-27406.6	-28225.1	0.046	0.057	0.662	0.114
27	79	-24762.2	-27628.9	-28453.6	0.007	0.042	0.673	0.083
28	96	-24724.9	-27610.4	-28546.2	0.036	0.039	0.646	0.056
29	83	-24621.2	-27454.9	-28325.1	0.015	0.036	0.665	0.075
30	121	-24705.0	-27589.1	-28498.3	0.053	0.029	0.664	0.070
